83	1014
84	1091
90	1105
86	1155
2338	1174
267	1255
2559	1514
257	1743
335	1847
85	1880
269	1966
266	2053
2015	2400
270	2604
2232	2750
2233	2750
2234	2750
824	3019
2560	3170
450	3235
451	3734
1942	3802
271	3988
2237	4203
2238	4203
2239	4203
208	4744
1896	5056
272	5453
460	6001
2561	6333
836	8394
1535	8423
2243	9270
2244	9270
1327	10143
837	10931
838	12233
2562	12773
734	15914
735	15914
329	17088
545	17279
457	17363
2235	18385
900	19039
754	19924
336	20187
1200	22162
454	22317
755	22711
2563	25662
917	26503
465	26647
568	27491
157	31184
156	31425
2219	31758
547	41057
918	41767
902	42204
1941	44945
224	47823
580	50523
756	50904
2564	51400
748	53502
750	53502
840	53668
453	54254
841	59546
919	60487
461	62238
570	62515
455	62900
740	75194
742	75204
744	75204
746	75204
736	75236
738	75236
901	82497
839	90251
572	96528
582	102043
2565	102863
549	104754
574	130528
551	141966
584	153563
576	164537
552	179578
578	198542
586	205083
2566	206063
284	213896
452	237759
554	254780
588	256603
920	268032
590	308123
283	326852
556	329983
592	359635
1333	389158
1334	389158
558	405195
2567	412136
1335	414305
1336	414305
560	480404
921	526566
236	540022
235	543160
899	553562
1337	555374
1338	555374
562	555601
1341	573470
1342	573470
1339	586278
1340	586278
564	630821    //2.12544
566	706030     //3.66111
2816	715546 //0.45408
286	777549     //0.589773
2056	800800  //  THESE TWO ARE Problematic
2034	846720  //  Fills horribly
922	913548      //16.3373
2376	1273187 //1.27349
827	1683890     //0.438191
2377	2100225  //0.566387
1867	5377761
1201	5514242
285	5757273
896	8516500
2842	34694738
2843	65009116
2844	131383728
2845	348909033

